Time,Spin,Type,Duration,Actual Duration,Water Hardness,Load Weight,Temperature,Accelerometer,Noise,Humidity,Temperature,Pressure,,,,,,,,,,,,,,,,,,dB,
2/19/2022 12:17,Spin 1,Wash,47,59,9,1.5,30,4260,90.79602278,19,22.34,96503,,,,,,,,,,,,,,,,,,90.79602278,22.34
2/19/2022 12:17,Spin 1,Wash,47,59,9,1.5,30,4246,89.84801023,19,22.34,96503,,,,,,,,,,,,,,,,,,89.84801023,22.34
2/19/2022 12:18,Spin 1,Wash,47,59,9,1.5,30,4217,91.43090797,19,22.32,96497,,,,,,,,,,,,,,,,,,91.43090797,22.32
2/19/2022 12:18,Spin 1,Wash,47,59,9,1.5,30,4249,90.89359594,19,22.31,96508,,,,,,,,,,,,,,,,,,90.89359594,22.31
2/19/2022 12:19,Spin 1,Wash,47,59,9,1.5,30,4243,88.90346934,19,22.3,96503,,,,,,,,,,,,,,,,,,88.90346934,22.3
2/19/2022 12:19,Spin 1,Wash,47,59,9,1.5,30,4237,90.86537112,19,22.29,96502,,,,,,,,,,,,,,,,,,90.86537112,22.29
2/19/2022 12:20,Spin 1,Wash,47,59,9,1.5,30,4265,91.04321462,19,22.29,96495,,,,,,,,,,,,,,,,,,91.04321462,22.29
2/19/2022 12:20,Spin 1,Wash,47,59,9,1.5,30,4234,79.86731287,19,22.28,96503,,,,,,,,,,,,,,,,,,79.86731287,22.28
2/19/2022 12:21,Spin 1,Wash,47,59,9,1.5,30,4258,75.50620375,19,22.26,96512,,,,,,,,,,,,,,,,,,75.50620375,22.26
2/19/2022 12:21,Spin 1,Wash,47,59,9,1.5,30,4268,90.70369127,19,22.27,96503,,,,,,,,,,,,,,,,,,90.70369127,22.27
2/19/2022 12:22,Spin 1,Wash,47,59,9,1.5,30,4052,87.11326306,19,22.27,96509,,,,,,,,,,,,,,,,,,87.11326306,22.27
2/19/2022 12:22,Spin 1,Wash,47,59,9,1.5,30,4238,69.85807351,19,22.26,96510,,,,,,,,,,,,,,,,,,69.85807351,22.26
2/19/2022 12:23,Spin 1,Wash,47,59,9,1.5,30,4262,70.35014493,19,22.25,96511,,,,,,,,,,,,,,,,,,70.35014493,22.25
2/19/2022 12:23,Spin 1,Wash,47,59,9,1.5,30,4263,69.15051697,19,22.26,96514,,,,,,,,,,,,,,,,,,69.15051697,22.26
2/19/2022 12:24,Spin 1,Wash,47,59,9,1.5,30,4251,75.83476224,19,22.26,96505,,,,,,,,,,,,,,,,,,75.83476224,22.26
2/19/2022 12:24,Spin 1,Wash,47,59,9,1.5,30,4222,74.73356994,19,22.28,96508,,,,,,,,,,,,,,,,,,74.73356994,22.28
2/19/2022 12:25,Spin 1,Wash,47,59,9,1.5,30,4302,93.84902452,19,22.31,96508,,,,,,,,,,,,,,,,,,93.84902452,22.31
2/19/2022 12:25,Spin 1,Wash,47,59,9,1.5,30,4488,87.76920928,19,22.32,96514,,,,,,,,,,,,,,,,,,87.76920928,22.32
2/19/2022 12:26,Spin 1,Wash,47,59,9,1.5,30,4280,71.29621357,19,22.34,96514,,,,,,,,,,,,,,,,,,71.29621357,22.34
2/19/2022 12:26,Spin 1,Wash,47,59,9,1.5,30,4254,69.84155783,19,22.37,96503,,,,,,,,,,,,,,,,,,69.84155783,22.37
2/19/2022 12:27,Spin 1,Wash,47,59,9,1.5,30,4291,71.30568024,19,22.39,96508,,,,,,,,,,,,,,,,,,71.30568024,22.39
2/19/2022 12:27,Spin 1,Wash,47,59,9,1.5,30,4239,69.43226693,19,22.44,96513,,,,,,,,,,,,,,,,,,69.43226693,22.44
2/19/2022 12:28,Spin 1,Wash,47,59,9,1.5,30,4209,86.24838768,19,22.48,96506,,,,,,,,,,,,,,,,,,86.24838768,22.48
2/19/2022 12:28,Spin 1,Wash,47,59,9,1.5,30,3633,93.07862854,19,22.53,96504,,,,,,,,,,,,,,,,,,93.07862854,22.53
2/19/2022 12:29,Spin 1,Wash,47,59,9,1.5,30,4306,87.79108429,19,22.59,96506,,,,,,,,,,,,,,,,,,87.79108429,22.59
2/19/2022 12:29,Spin 1,Wash,47,59,9,1.5,30,4271,81.32125732,19,22.66,96509,,,,,,,,,,,,,,,,,,81.32125732,22.66
2/19/2022 12:30,Spin 1,Wash,47,59,9,1.5,30,4285,79.51940202,19,22.72,96508,,,,,,,,,,,,,,,,,,79.51940202,22.72
2/19/2022 12:30,Spin 1,Wash,47,59,9,1.5,30,4265,79.92095034,19,22.79,96509,,,,,,,,,,,,,,,,,,79.92095034,22.79
2/19/2022 12:31,Spin 1,Wash,47,59,9,1.5,30,4270,74.79326831,19,22.88,96505,,,,,,,,,,,,,,,,,,74.79326831,22.88
2/19/2022 12:31,Spin 1,Wash,47,59,9,1.5,30,4229,81.5112799,19,22.95,96508,,,,,,,,,,,,,,,,,,81.5112799,22.95
2/19/2022 12:32,Spin 1,Wash,47,59,9,1.5,30,4412,93.75183045,19,23.03,96502,,,,,,,,,,,,,,,,,,93.75183045,23.03
2/19/2022 12:32,Spin 1,Wash,47,59,9,1.5,30,4199,87.44835603,19,23.1,96504,,,,,,,,,,,,,,,,,,87.44835603,23.1
2/19/2022 12:33,Spin 1,Wash,47,59,9,1.5,30,4254,73.36632291,19,23.18,96495,,,,,,,,,,,,,,,,,,73.36632291,23.18
2/19/2022 12:33,Spin 1,Wash,47,59,9,1.5,30,4239,72.85685833,19,23.27,96500,,,,,,,,,,,,,,,,,,72.85685833,23.27
2/19/2022 12:34,Spin 1,Wash,47,59,9,1.5,30,4251,72.21672722,19,23.35,96493,,,,,,,,,,,,,,,,,,72.21672722,23.35
2/19/2022 12:34,Spin 1,Wash,47,59,9,1.5,30,4251,72.50033631,19,23.43,96494,,,,,,,,,,,,,,,,,,72.50033631,23.43
2/19/2022 12:35,Spin 1,Wash,47,59,9,1.5,30,4259,93.54636108,19,23.52,96490,,,,,,,,,,,,,,,,,,93.54636108,23.52
2/19/2022 12:35,Spin 1,Wash,47,59,9,1.5,30,4201,90.05247331,18,23.59,96500,,,,,,,,,,,,,,,,,,90.05247331,23.59
2/19/2022 12:36,Spin 1,Wash,47,59,9,1.5,30,4320,73.19237496,18,23.67,96495,,,,,,,,,,,,,,,,,,73.19237496,23.67
2/19/2022 12:36,Spin 1,Wash,47,59,9,1.5,30,4247,74.95225511,18,23.75,96498,,,,,,,,,,,,,,,,,,74.95225511,23.75
2/19/2022 12:37,Spin 1,Wash,47,59,9,1.5,30,4246,73.7502013,18,23.81,96499,,,,,,,,,,,,,,,,,,73.7502013,23.81
2/19/2022 12:37,Spin 1,Wash,47,59,9,1.5,30,4246,74.63586029,18,23.9,96499,,,,,,,,,,,,,,,,,,74.63586029,23.9
2/19/2022 12:38,Spin 1,Wash,47,59,9,1.5,30,4242,72.52361884,18,23.98,96500,,,,,,,,,,,,,,,,,,72.52361884,23.98
2/19/2022 12:38,Spin 1,Wash,47,59,9,1.5,30,4190,88.46597878,18,24.05,96496,,,,,,,,,,,,,,,,,,88.46597878,24.05
2/19/2022 12:39,Spin 1,Wash,47,59,9,1.5,30,4314,90.2121494,18,24.11,96494,,,,,,,,,,,,,,,,,,90.2121494,24.11
2/19/2022 12:39,Spin 1,Wash,47,59,9,1.5,30,4226,71.46800346,18,24.16,96505,,,,,,,,,,,,,,,,,,71.46800346,24.16
2/19/2022 12:40,Spin 1,Wash,47,59,9,1.5,30,4256,73.77170979,18,24.22,96502,,,,,,,,,,,,,,,,,,73.77170979,24.22
2/19/2022 12:40,Spin 1,Wash,47,59,9,1.5,30,4227,71.57369016,18,24.27,96501,,,,,,,,,,,,,,,,,,71.57369016,24.27
2/19/2022 12:41,Spin 1,Wash,47,59,9,1.5,30,4211,70.66798532,18,24.33,96496,,,,,,,,,,,,,,,,,,70.66798532,24.33
2/19/2022 12:41,Spin 1,Wash,47,59,9,1.5,30,4151,89.78655717,18,24.37,96499,,,,,,,,,,,,,,,,,,89.78655717,24.37
2/19/2022 12:42,Spin 1,Wash,47,59,9,1.5,30,4275,70.815957,18,24.43,96503,,,,,,,,,,,,,,,,,,70.815957,24.43
2/19/2022 12:42,Spin 1,Wash,47,59,9,1.5,30,4269,70.45198862,18,24.49,96495,,,,,,,,,,,,,,,,,,70.45198862,24.49
2/19/2022 12:43,Spin 1,Wash,47,59,9,1.5,30,4298,86.12490883,18,24.53,96494,,,,,,,,,,,,,,,,,,86.12490883,24.53
2/19/2022 12:43,Spin 1,Wash,47,59,9,1.5,30,4210,86.90686785,18,24.58,96491,,,,,,,,,,,,,,,,,,86.90686785,24.58
2/19/2022 12:44,Spin 1,Wash,47,59,9,1.5,30,4289,91.646738,18,24.62,96492,,,,,,,,,,,,,,,,,,91.646738,24.62
2/19/2022 12:44,Spin 1,Wash,47,59,9,1.5,30,4257,89.56881849,17,24.66,96499,,,,,,,,,,,,,,,,,,89.56881849,24.66
2/19/2022 12:45,Spin 1,Wash,47,59,9,1.5,30,4275,90.45087011,17,24.7,96500,,,,,,,,,,,,,,,,,,90.45087011,24.7
2/19/2022 12:45,Spin 1,Wash,47,59,9,1.5,30,4241,90.38737706,17,24.73,96495,,,,,,,,,,,,,,,,,,90.38737706,24.73
2/19/2022 12:46,Spin 1,Wash,47,59,9,1.5,30,4385,92.5920421,17,24.77,96494,,,,,,,,,,,,,,,,,,92.5920421,24.77
2/19/2022 12:46,Spin 1,Wash,47,59,9,1.5,30,4281,89.09933606,17,24.78,96502,,,,,,,,,,,,,,,,,,89.09933606,24.78
2/19/2022 12:47,Spin 1,Wash,47,59,9,1.5,30,4262,71.53127518,17,24.79,96503,,,,,,,,,,,,,,,,,,71.53127518,24.79
2/19/2022 12:47,Spin 1,Wash,47,59,9,1.5,30,4267,71.32453587,17,24.8,96497,,,,,,,,,,,,,,,,,,71.32453587,24.8
2/19/2022 12:48,Spin 1,Wash,47,59,9,1.5,30,4358,91.48984678,17,24.81,96507,,,,,,,,,,,,,,,,,,91.48984678,24.81
2/19/2022 12:48,Spin 1,Wash,47,59,9,1.5,30,4257,80.4450714,17,24.8,96502,,,,,,,,,,,,,,,,,,80.4450714,24.8
2/19/2022 12:49,Spin 1,Wash,47,59,9,1.5,30,4283,86.45652253,17,24.78,96503,,,,,,,,,,,,,,,,,,86.45652253,24.78
2/19/2022 12:49,Spin 1,Wash,47,59,9,1.5,30,4423,91.44877383,17,24.75,96499,,,,,,,,,,,,,,,,,,91.44877383,24.75
2/19/2022 12:50,Spin 1,Wash,47,59,9,1.5,30,4262,90.7544465,17,24.72,96500,,,,,,,,,,,,,,,,,,90.7544465,24.72
2/19/2022 12:50,Spin 1,Wash,47,59,9,1.5,30,4268,88.70220975,17,24.69,96501,,,,,,,,,,,,,,,,,,88.70220975,24.69
2/19/2022 12:51,Spin 1,Wash,47,59,9,1.5,30,4258,91.09944359,17,24.67,96499,,,,,,,,,,,,,,,,,,91.09944359,24.67
2/19/2022 12:51,Spin 1,Wash,47,59,9,1.5,30,4239,91.28181535,17,24.63,96496,,,,,,,,,,,,,,,,,,91.28181535,24.63
2/19/2022 12:52,Spin 1,Wash,47,59,9,1.5,30,4211,91.11764878,17,24.6,96501,,,,,,,,,,,,,,,,,,91.11764878,24.6
2/19/2022 12:52,Spin 1,Wash,47,59,9,1.5,30,4289,91.75274597,17,24.58,96502,,,,,,,,,,,,,,,,,,91.75274597,24.58
2/19/2022 12:53,Spin 1,Wash,47,59,9,1.5,30,4216,88.71235009,17,24.54,96499,,,,,,,,,,,,,,,,,,88.71235009,24.54
2/19/2022 12:53,Spin 1,Wash,47,59,9,1.5,30,4287,79.66456824,17,24.49,96498,,,,,,,,,,,,,,,,,,79.66456824,24.49
2/19/2022 12:54,Spin 1,Wash,47,59,9,1.5,30,4212,81.62932547,17,24.46,96495,,,,,,,,,,,,,,,,,,81.62932547,24.46
2/19/2022 12:54,Spin 1,Wash,47,59,9,1.5,30,4259,93.01679935,17,24.43,96493,,,,,,,,,,,,,,,,,,93.01679935,24.43
2/19/2022 12:55,Spin 1,Wash,47,59,9,1.5,30,4244,88.22607385,17,24.39,96492,,,,,,,,,,,,,,,,,,88.22607385,24.39
2/19/2022 12:55,Spin 1,Wash,47,59,9,1.5,30,4234,88.72919915,17,24.34,96492,,,,,,,,,,,,,,,,,,88.72919915,24.34
2/19/2022 12:56,Spin 1,Wash,47,59,9,1.5,30,4295,88.786466,17,24.31,96494,,,,,,,,,,,,,,,,,,88.786466,24.31
2/19/2022 12:56,Spin 1,Wash,47,59,9,1.5,30,4314,87.90790307,17,24.26,96491,,,,,,,,,,,,,,,,,,87.90790307,24.26
2/19/2022 12:57,Spin 1,Wash,47,59,9,1.5,30,4267,88.40246218,17,24.24,96492,,,,,,,,,,,,,,,,,,88.40246218,24.24
2/19/2022 12:57,Spin 1,Wash,47,59,9,1.5,30,4211,90.65467147,17,24.2,96491,,,,,,,,,,,,,,,,,,90.65467147,24.2
2/19/2022 12:58,Spin 1,Wash,47,59,9,1.5,30,4190,93.74602077,17,24.15,96492,,,,,,,,,,,,,,,,,,93.74602077,24.15
2/19/2022 12:58,Spin 1,Wash,47,59,9,1.5,30,4188,86.95551372,17,24.12,96488,,,,,,,,,,,,,,,,,,86.95551372,24.12
2/19/2022 12:59,Spin 1,Wash,47,59,9,1.5,30,4224,80.02975176,17,24.08,96481,,,,,,,,,,,,,,,,,,80.02975176,24.08
2/19/2022 12:59,Spin 1,Wash,47,59,9,1.5,30,4252,73.58146294,17,24.07,96487,,,,,,,,,,,,,,,,,,73.58146294,24.07
2/19/2022 13:00,Spin 1,Wash,47,59,9,1.5,30,4217,82.65428217,17,24.03,96485,,,,,,,,,,,,,,,,,,82.65428217,24.03
2/19/2022 13:00,Spin 1,Wash,47,59,9,1.5,30,4242,83.7398342,17,24.01,96488,,,,,,,,,,,,,,,,,,83.7398342,24.01
2/19/2022 13:01,Spin 1,Wash,47,59,9,1.5,30,4331,87.41654181,17,23.99,96490,,,,,,,,,,,,,,,,,,87.41654181,23.99
2/19/2022 13:01,Spin 1,Wash,47,59,9,1.5,30,4297,90.76952556,17,23.97,96488,,,,,,,,,,,,,,,,,,90.76952556,23.97
2/19/2022 13:02,Spin 1,Wash,47,59,9,1.5,30,4247,90.13434337,17,23.96,96483,,,,,,,,,,,,,,,,,,90.13434337,23.96
2/19/2022 13:02,Spin 1,Wash,47,59,9,1.5,30,4242,90.93440527,17,23.94,96482,,,,,,,,,,,,,,,,,,90.93440527,23.94
2/19/2022 13:03,Spin 1,Wash,47,59,9,1.5,30,4039,92.22855165,17,23.91,96483,,,,,,,,,,,,,,,,,,92.22855165,23.91
2/19/2022 13:03,Spin 1,Wash,47,59,9,1.5,30,5113,95.35217781,17,23.91,96484,,,,,,,,,,,,,,,,,,95.35217781,23.91
2/19/2022 13:04,Spin 1,Wash,47,59,9,1.5,30,5129,93.45112794,17,23.89,96484,,,,,,,,,,,,,,,,,,93.45112794,23.89
2/19/2022 13:04,Spin 1,Wash,47,59,9,1.5,30,4309,88.58126307,17,23.89,96479,,,,,,,,,,,,,,,,,,88.58126307,23.89
2/19/2022 13:05,Spin 1,Wash,47,59,9,1.5,30,4230,74.30418078,17,23.88,96479,,,,,,,,,,,,,,,,,,74.30418078,23.88
2/19/2022 13:05,Spin 1,Wash,47,59,9,1.5,30,4285,73.16930525,17,23.88,96475,,,,,,,,,,,,,,,,,,73.16930525,23.88
2/19/2022 13:06,Spin 1,Wash,47,59,9,1.5,30,4245,86.35917719,17,23.86,96480,,,,,,,,,,,,,,,,,,86.35917719,23.86
2/19/2022 13:06,Spin 1,Wash,47,59,9,1.5,30,4348,91.29811149,17,23.85,96479,,,,,,,,,,,,,,,,,,91.29811149,23.85
2/19/2022 13:07,Spin 1,Wash,47,59,9,1.5,30,4252,84.51300154,17,23.83,96482,,,,,,,,,,,,,,,,,,84.51300154,23.83
2/19/2022 13:07,Spin 1,Wash,47,59,9,1.5,30,4244,91.58489564,17,23.81,96477,,,,,,,,,,,,,,,,,,91.58489564,23.81
2/19/2022 13:08,Spin 1,Wash,47,59,9,1.5,30,2768,94.51351952,17,23.81,96479,,,,,,,,,,,,,,,,,,94.51351952,23.81
2/19/2022 13:08,Spin 1,Wash,47,59,9,1.5,30,10424,103.7185463,18,23.71,96478,,,,,,,,,,,,,,,,,,103.7185463,23.71
2/19/2022 13:09,Spin 1,Wash,47,59,9,1.5,30,10092,110.3513917,17,23.58,96470,,,,,,,,,,,,,,,,,,110.3513917,23.58
2/19/2022 13:09,Spin 1,Wash,47,59,9,1.5,30,9365,114.458196,16,23.46,96467,,,,,,,,,,,,,,,,,,114.458196,23.46
2/19/2022 13:10,Spin 1,Wash,47,59,9,1.5,30,11636,112.2637606,16,23.41,96470,,,,,,,,,,,,,,,,,,112.2637606,23.41
2/19/2022 13:10,Spin 1,Wash,47,59,9,1.5,30,10345,112.3952411,16,23.37,96474,,,,,,,,,,,,,,,,,,112.3952411,23.37
2/19/2022 13:11,Spin 1,Wash,47,59,9,1.5,30,11680,112.5183959,16,23.37,96470,,,,,,,,,,,,,,,,,,112.5183959,23.37
2/19/2022 13:11,Spin 1,Wash,47,59,9,1.5,30,8813,111.0885945,16,23.35,96473,,,,,,,,,,,,,,,,,,111.0885945,23.35
2/19/2022 13:12,Spin 1,Wash,47,59,9,1.5,30,7676,108.9852899,16,23.37,96469,,,,,,,,,,,,,,,,,,108.9852899,23.37
2/19/2022 13:12,Spin 1,Wash,47,59,9,1.5,30,4244,91.72256804,17,23.42,96464,,,,,,,,,,,,,,,,,,91.72256804,23.42
2/19/2022 13:13,Spin 1,Wash,47,59,9,1.5,30,4245,71.38296118,17,23.46,96468,,,,,,,,,,,,,,,,,,71.38296118,23.46
2/19/2022 13:13,Spin 1,Wash,47,59,9,1.5,30,4219,70.35014493,17,23.51,96466,,,,,,,,,,,,,,,,,,70.35014493,23.51
2/19/2022 13:14,Spin 1,Wash,47,59,9,1.5,30,4239,71.2985812,17,23.54,96470,,,,,,,,,,,,,,,,,,71.2985812,23.54
2/19/2022 13:14,Spin 1,Wash,47,59,9,1.5,30,4224,84.2888477,17,23.56,96470,,,,,,,,,,,,,,,,,,84.2888477,23.56
2/19/2022 13:15,Spin 1,Wash,47,59,9,1.5,30,4098,91.72689709,17,23.57,96466,,,,,,,,,,,,,,,,,,91.72689709,23.57
2/19/2022 13:15,Spin 1,Wash,47,59,9,1.5,30,4228,78.15858103,17,23.57,96466,,,,,,,,,,,,,,,,,,78.15858103,23.57
2/19/2022 13:29,Spin 2,Wash,67,74,9,2.37,40,4231,90.75490655,18,23.6,96456,,,,,,,,,,,,,,,,,,90.75490655,23.6
2/19/2022 13:29,Spin 2,Wash,67,74,9,2.37,40,4236,90.34716868,18,23.58,96452,,,,,,,,,,,,,,,,,,90.34716868,23.58
2/19/2022 13:30,Spin 2,Wash,67,74,9,2.37,40,4266,90.60572955,18,23.57,96455,,,,,,,,,,,,,,,,,,90.60572955,23.57
2/19/2022 13:30,Spin 2,Wash,67,74,9,2.37,40,4012,93.36676714,18,23.56,96449,,,,,,,,,,,,,,,,,,93.36676714,23.56
2/19/2022 13:31,Spin 2,Wash,67,74,9,2.37,40,4304,72.98707256,18,23.55,96455,,,,,,,,,,,,,,,,,,72.98707256,23.55
2/19/2022 13:31,Spin 2,Wash,67,74,9,2.37,40,4225,86.74871646,18,23.54,96457,,,,,,,,,,,,,,,,,,86.74871646,23.54
2/19/2022 13:32,Spin 2,Wash,67,74,9,2.37,40,4279,86.4386727,18,23.51,96453,,,,,,,,,,,,,,,,,,86.4386727,23.51
2/19/2022 13:32,Spin 2,Wash,67,74,9,2.37,40,4173,84.27228319,18,23.51,96454,,,,,,,,,,,,,,,,,,84.27228319,23.51
2/19/2022 13:33,Spin 2,Wash,67,74,9,2.37,40,4053,86.07642356,18,23.49,96453,,,,,,,,,,,,,,,,,,86.07642356,23.49
2/19/2022 13:33,Spin 2,Wash,67,74,9,2.37,40,4265,71.21252911,18,23.48,96452,,,,,,,,,,,,,,,,,,71.21252911,23.48
2/19/2022 13:34,Spin 2,Wash,67,74,9,2.37,40,4239,72.32833124,18,23.48,96452,,,,,,,,,,,,,,,,,,72.32833124,23.48
2/19/2022 13:34,Spin 2,Wash,67,74,9,2.37,40,4399,93.9484672,18,23.45,96452,,,,,,,,,,,,,,,,,,93.9484672,23.45
2/19/2022 13:35,Spin 2,Wash,67,74,9,2.37,40,4061,87.75900653,18,23.45,96457,,,,,,,,,,,,,,,,,,87.75900653,23.45
2/19/2022 13:35,Spin 2,Wash,67,74,9,2.37,40,4347,90.26528985,18,23.43,96455,,,,,,,,,,,,,,,,,,90.26528985,23.43
2/19/2022 13:36,Spin 2,Wash,67,74,9,2.37,40,4342,86.64652375,18,23.45,96458,,,,,,,,,,,,,,,,,,86.64652375,23.45
2/19/2022 13:36,Spin 2,Wash,67,74,9,2.37,40,4236,81.39013827,18,23.45,96457,,,,,,,,,,,,,,,,,,81.39013827,23.45
2/19/2022 13:37,Spin 2,Wash,67,74,9,2.37,40,4224,72.33575411,18,23.45,96461,,,,,,,,,,,,,,,,,,72.33575411,23.45
2/19/2022 13:37,Spin 2,Wash,67,74,9,2.37,40,4212,83.67938242,18,23.45,96457,,,,,,,,,,,,,,,,,,83.67938242,23.45
